circuitId,alt,fastestLapSpeed
1,10,213.4001141141141
2,18,199.49867123287672
3,7,203.2777963446475
4,109,197.96238860103628
5,130,211.73910160427806
6,7,153.31144324324325
7,13,201.37585498489426
8,228,204.3259393939394
9,153,222.8307025
10,103,209.70164593301436
11,264,187.4892299741602
12,4,191.55375454545455
13,401,225.62890881458964
14,162,242.01945219638245
15,18,164.9045111111111
16,583,191.8048048780488
17,5,194.69396726190476
18,785,205.28231476323117
19,223,203.1550714285714
20,578,193.99828313253013
21,37,216.10804201680673
22,45,214.16268524590163
24,3,194.78410069444445
32,2227,189.67414492753622
34,432,217.28558974358975
35,0,190.79108695652172
39,6,204.88275
68,194,205.05542647058823
69,161,195.1167626262626
70,678,222.76983796296298
71,2,210.34857615894038
73,-7,202.19715
75,108,206.2433076923077
76,255,208.05327777777777
77,15,238.6515
